Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780137435321620736,1780137436321620736,Active Decode Throughput,tokens/sec,avg,116.18
0,1780137435321620736,1780137436321620736,Active Decode Throughput,tokens/sec,min,0.00
0,1780137435321620736,1780137436321620736,Active Decode Throughput,tokens/sec,max,19342.73
0,1780137435321620736,1780137436321620736,Active Decode Throughput,tokens/sec,p50,0.00
0,1780137435321620736,1780137436321620736,Active Decode Throughput,tokens/sec,p90,0.00
0,1780137435321620736,1780137436321620736,Active Decode Throughput,tokens/sec,p95,0.00
0,1780137435321620736,1780137436321620736,Active Decode Throughput,tokens/sec,p99,4607.96
0,1780137435321620736,1780137436321620736,Active Decode Throughput,tokens/sec,std,792.86
0,1780137435321620736,1780137436321620736,Active Decode Throughput Per User,tokens/sec/user,avg,116.18
0,1780137435321620736,1780137436321620736,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780137435321620736,1780137436321620736,Active Decode Throughput Per User,tokens/sec/user,max,19342.73
0,1780137435321620736,1780137436321620736,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780137435321620736,1780137436321620736,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780137435321620736,1780137436321620736,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780137435321620736,1780137436321620736,Active Decode Throughput Per User,tokens/sec/user,p99,4607.96
0,1780137435321620736,1780137436321620736,Active Decode Throughput Per User,tokens/sec/user,std,792.86
0,1780137435321620736,1780137436321620736,Active Prefill Throughput,tokens/sec,avg,192712.24
0,1780137435321620736,1780137436321620736,Active Prefill Throughput,tokens/sec,min,192712.24
0,1780137435321620736,1780137436321620736,Active Prefill Throughput,tokens/sec,max,192712.24
0,1780137435321620736,1780137436321620736,Active Prefill Throughput,tokens/sec,p50,192712.24
0,1780137435321620736,1780137436321620736,Active Prefill Throughput,tokens/sec,p90,192712.24
0,1780137435321620736,1780137436321620736,Active Prefill Throughput,tokens/sec,p95,192712.24
0,1780137435321620736,1780137436321620736,Active Prefill Throughput,tokens/sec,p99,192712.24
0,1780137435321620736,1780137436321620736,Active Prefill Throughput,tokens/sec,std,0.00
0,1780137435321620736,1780137436321620736,Active Prefill Throughput Per User,tokens/sec/user,avg,192712.24
0,1780137435321620736,1780137436321620736,Active Prefill Throughput Per User,tokens/sec/user,min,192712.24
0,1780137435321620736,1780137436321620736,Active Prefill Throughput Per User,tokens/sec/user,max,192712.24
0,1780137435321620736,1780137436321620736,Active Prefill Throughput Per User,tokens/sec/user,p50,192712.24
0,1780137435321620736,1780137436321620736,Active Prefill Throughput Per User,tokens/sec/user,p90,192712.24
0,1780137435321620736,1780137436321620736,Active Prefill Throughput Per User,tokens/sec/user,p95,192712.24
0,1780137435321620736,1780137436321620736,Active Prefill Throughput Per User,tokens/sec/user,p99,192712.24
0,1780137435321620736,1780137436321620736,Active Prefill Throughput Per User,tokens/sec/user,std,0.00
0,1780137435321620736,1780137436321620736,Active Total Throughput,tokens/sec,avg,93223.74
0,1780137435321620736,1780137436321620736,Active Total Throughput,tokens/sec,min,88.57
0,1780137435321620736,1780137436321620736,Active Total Throughput,tokens/sec,max,192712.24
0,1780137435321620736,1780137436321620736,Active Total Throughput,tokens/sec,p50,88.57
0,1780137435321620736,1780137436321620736,Active Total Throughput,tokens/sec,p90,192712.24
0,1780137435321620736,1780137436321620736,Active Total Throughput,tokens/sec,p95,192712.24
0,1780137435321620736,1780137436321620736,Active Total Throughput,tokens/sec,p99,192712.24
0,1780137435321620736,1780137436321620736,Active Total Throughput,tokens/sec,std,96259.43
0,1780137435321620736,1780137436321620736,Benchmark Duration,sec,avg,1.16
0,1780137435321620736,1780137436321620736,E2E Output Token Throughput,tokens/sec/user,avg,52.54
0,1780137435321620736,1780137436321620736,E2E Output Token Throughput,tokens/sec/user,min,52.54
0,1780137435321620736,1780137436321620736,E2E Output Token Throughput,tokens/sec/user,max,52.54
0,1780137435321620736,1780137436321620736,E2E Output Token Throughput,tokens/sec/user,sum,52.54
0,1780137435321620736,1780137436321620736,E2E Output Token Throughput,tokens/sec/user,p1,52.54
0,1780137435321620736,1780137436321620736,E2E Output Token Throughput,tokens/sec/user,p5,52.54
0,1780137435321620736,1780137436321620736,E2E Output Token Throughput,tokens/sec/user,p10,52.54
0,1780137435321620736,1780137436321620736,E2E Output Token Throughput,tokens/sec/user,p25,52.54
0,1780137435321620736,1780137436321620736,E2E Output Token Throughput,tokens/sec/user,p50,52.54
0,1780137435321620736,1780137436321620736,E2E Output Token Throughput,tokens/sec/user,p75,52.54
0,1780137435321620736,1780137436321620736,E2E Output Token Throughput,tokens/sec/user,p90,52.54
0,1780137435321620736,1780137436321620736,E2E Output Token Throughput,tokens/sec/user,p95,52.54
0,1780137435321620736,1780137436321620736,E2E Output Token Throughput,tokens/sec/user,p99,52.54
0,1780137435321620736,1780137436321620736,E2E Output Token Throughput,tokens/sec/user,std,0.00
0,1780137435321620736,1780137436321620736,Effective Concurrency,requests,avg,1.00
0,1780137435321620736,1780137436321620736,Effective Concurrency,requests,min,1.00
0,1780137435321620736,1780137436321620736,Effective Concurrency,requests,max,1.00
0,1780137435321620736,1780137436321620736,Effective Concurrency,requests,p50,1.00
0,1780137435321620736,1780137436321620736,Effective Concurrency,requests,p90,1.00
0,1780137435321620736,1780137436321620736,Effective Concurrency,requests,p95,1.00
0,1780137435321620736,1780137436321620736,Effective Concurrency,requests,p99,1.00
0,1780137435321620736,1780137436321620736,Effective Concurrency,requests,std,0.00
0,1780137435321620736,1780137436321620736,Effective Decode Concurrency,requests,avg,0.52
0,1780137435321620736,1780137436321620736,Effective Decode Concurrency,requests,min,0.00
0,1780137435321620736,1780137436321620736,Effective Decode Concurrency,requests,max,1.00
0,1780137435321620736,1780137436321620736,Effective Decode Concurrency,requests,p50,1.00
0,1780137435321620736,1780137436321620736,Effective Decode Concurrency,requests,p90,1.00
0,1780137435321620736,1780137436321620736,Effective Decode Concurrency,requests,p95,1.00
0,1780137435321620736,1780137436321620736,Effective Decode Concurrency,requests,p99,1.00
0,1780137435321620736,1780137436321620736,Effective Decode Concurrency,requests,std,0.50
0,1780137435321620736,1780137436321620736,Effective Decode Throughput,tokens/sec,avg,60.00
0,1780137435321620736,1780137436321620736,Effective Decode Throughput,tokens/sec,min,0.00
0,1780137435321620736,1780137436321620736,Effective Decode Throughput,tokens/sec,max,19342.73
0,1780137435321620736,1780137436321620736,Effective Decode Throughput,tokens/sec,p50,0.00
0,1780137435321620736,1780137436321620736,Effective Decode Throughput,tokens/sec,p90,0.00
0,1780137435321620736,1780137436321620736,Effective Decode Throughput,tokens/sec,p95,0.00
0,1780137435321620736,1780137436321620736,Effective Decode Throughput,tokens/sec,p99,3902.97
0,1780137435321620736,1780137436321620736,Effective Decode Throughput,tokens/sec,std,572.76
0,1780137435321620736,1780137436321620736,Effective Decode Throughput Per User,tokens/sec/user,avg,60.00
0,1780137435321620736,1780137436321620736,Effective Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780137435321620736,1780137436321620736,Effective Decode Throughput Per User,tokens/sec/user,max,19342.73
0,1780137435321620736,1780137436321620736,Effective Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780137435321620736,1780137436321620736,Effective Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780137435321620736,1780137436321620736,Effective Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780137435321620736,1780137436321620736,Effective Decode Throughput Per User,tokens/sec/user,p99,3902.97
0,1780137435321620736,1780137436321620736,Effective Decode Throughput Per User,tokens/sec/user,std,572.76
0,1780137435321620736,1780137436321620736,Effective Prefill Concurrency,requests,avg,0.48
0,1780137435321620736,1780137436321620736,Effective Prefill Concurrency,requests,min,0.00
0,1780137435321620736,1780137436321620736,Effective Prefill Concurrency,requests,max,1.00
0,1780137435321620736,1780137436321620736,Effective Prefill Concurrency,requests,p50,0.00
0,1780137435321620736,1780137436321620736,Effective Prefill Concurrency,requests,p90,1.00
0,1780137435321620736,1780137436321620736,Effective Prefill Concurrency,requests,p95,1.00
0,1780137435321620736,1780137436321620736,Effective Prefill Concurrency,requests,p99,1.00
0,1780137435321620736,1780137436321620736,Effective Prefill Concurrency,requests,std,0.50
0,1780137435321620736,1780137436321620736,Effective Prefill Throughput,tokens/sec,avg,93178.00
0,1780137435321620736,1780137436321620736,Effective Prefill Throughput,tokens/sec,min,0.00
0,1780137435321620736,1780137436321620736,Effective Prefill Throughput,tokens/sec,max,192712.24
0,1780137435321620736,1780137436321620736,Effective Prefill Throughput,tokens/sec,p50,0.00
0,1780137435321620736,1780137436321620736,Effective Prefill Throughput,tokens/sec,p90,192712.24
0,1780137435321620736,1780137436321620736,Effective Prefill Throughput,tokens/sec,p95,192712.24
0,1780137435321620736,1780137436321620736,Effective Prefill Throughput,tokens/sec,p99,192712.24
0,1780137435321620736,1780137436321620736,Effective Prefill Throughput,tokens/sec,std,96303.69
0,1780137435321620736,1780137436321620736,Effective Prefill Throughput Per User,tokens/sec/user,avg,93178.00
0,1780137435321620736,1780137436321620736,Effective Prefill Throughput Per User,tokens/sec/user,min,0.00
0,1780137435321620736,1780137436321620736,Effective Prefill Throughput Per User,tokens/sec/user,max,192712.24
0,1780137435321620736,1780137436321620736,Effective Prefill Throughput Per User,tokens/sec/user,p50,0.00
0,1780137435321620736,1780137436321620736,Effective Prefill Throughput Per User,tokens/sec/user,p90,192712.24
0,1780137435321620736,1780137436321620736,Effective Prefill Throughput Per User,tokens/sec/user,p95,192712.24
0,1780137435321620736,1780137436321620736,Effective Prefill Throughput Per User,tokens/sec/user,p99,192712.24
0,1780137435321620736,1780137436321620736,Effective Prefill Throughput Per User,tokens/sec/user,std,96303.69
0,1780137435321620736,1780137436321620736,Effective Total Throughput,tokens/sec,avg,93223.74
0,1780137435321620736,1780137436321620736,Effective Total Throughput,tokens/sec,min,88.57
0,1780137435321620736,1780137436321620736,Effective Total Throughput,tokens/sec,max,192712.24
0,1780137435321620736,1780137436321620736,Effective Total Throughput,tokens/sec,p50,88.57
0,1780137435321620736,1780137436321620736,Effective Total Throughput,tokens/sec,p90,192712.24
0,1780137435321620736,1780137436321620736,Effective Total Throughput,tokens/sec,p95,192712.24
0,1780137435321620736,1780137436321620736,Effective Total Throughput,tokens/sec,p99,192712.24
0,1780137435321620736,1780137436321620736,Effective Total Throughput,tokens/sec,std,96259.43
0,1780137435321620736,1780137436321620736,HTTP Blocked,ms,avg,0.00
0,1780137435321620736,1780137436321620736,HTTP Blocked,ms,min,0.00
0,1780137435321620736,1780137436321620736,HTTP Blocked,ms,max,0.00
0,1780137435321620736,1780137436321620736,HTTP Blocked,ms,sum,0.00
0,1780137435321620736,1780137436321620736,HTTP Blocked,ms,p1,0.00
0,1780137435321620736,1780137436321620736,HTTP Blocked,ms,p5,0.00
0,1780137435321620736,1780137436321620736,HTTP Blocked,ms,p10,0.00
0,1780137435321620736,1780137436321620736,HTTP Blocked,ms,p25,0.00
0,1780137435321620736,1780137436321620736,HTTP Blocked,ms,p50,0.00
0,1780137435321620736,1780137436321620736,HTTP Blocked,ms,p75,0.00
0,1780137435321620736,1780137436321620736,HTTP Blocked,ms,p90,0.00
0,1780137435321620736,1780137436321620736,HTTP Blocked,ms,p95,0.00
0,1780137435321620736,1780137436321620736,HTTP Blocked,ms,p99,0.00
0,1780137435321620736,1780137436321620736,HTTP Blocked,ms,std,0.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Received,count,avg,61.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Received,count,min,61.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Received,count,max,61.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Received,count,sum,61.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Received,count,p1,61.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Received,count,p5,61.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Received,count,p10,61.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Received,count,p25,61.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Received,count,p50,61.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Received,count,p75,61.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Received,count,p90,61.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Received,count,p95,61.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Received,count,p99,61.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Received,count,std,0.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Sent,count,avg,1.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Sent,count,min,1.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Sent,count,max,1.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Sent,count,sum,1.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Sent,count,p1,1.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Sent,count,p5,1.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Sent,count,p10,1.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Sent,count,p25,1.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Sent,count,p50,1.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Sent,count,p75,1.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Sent,count,p90,1.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Sent,count,p95,1.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Sent,count,p99,1.00
0,1780137435321620736,1780137436321620736,HTTP Chunks Sent,count,std,0.00
0,1780137435321620736,1780137436321620736,HTTP Connecting,ms,avg,0.89
0,1780137435321620736,1780137436321620736,HTTP Connecting,ms,min,0.89
0,1780137435321620736,1780137436321620736,HTTP Connecting,ms,max,0.89
0,1780137435321620736,1780137436321620736,HTTP Connecting,ms,sum,0.89
0,1780137435321620736,1780137436321620736,HTTP Connecting,ms,p1,0.89
0,1780137435321620736,1780137436321620736,HTTP Connecting,ms,p5,0.89
0,1780137435321620736,1780137436321620736,HTTP Connecting,ms,p10,0.89
0,1780137435321620736,1780137436321620736,HTTP Connecting,ms,p25,0.89
0,1780137435321620736,1780137436321620736,HTTP Connecting,ms,p50,0.89
0,1780137435321620736,1780137436321620736,HTTP Connecting,ms,p75,0.89
0,1780137435321620736,1780137436321620736,HTTP Connecting,ms,p90,0.89
0,1780137435321620736,1780137436321620736,HTTP Connecting,ms,p95,0.89
0,1780137435321620736,1780137436321620736,HTTP Connecting,ms,p99,0.89
0,1780137435321620736,1780137436321620736,HTTP Connecting,ms,std,0.00
0,1780137435321620736,1780137436321620736,HTTP Connection Overhead,ms,avg,0.89
0,1780137435321620736,1780137436321620736,HTTP Connection Overhead,ms,min,0.89
0,1780137435321620736,1780137436321620736,HTTP Connection Overhead,ms,max,0.89
0,1780137435321620736,1780137436321620736,HTTP Connection Overhead,ms,sum,0.89
0,1780137435321620736,1780137436321620736,HTTP Connection Overhead,ms,p1,0.89
0,1780137435321620736,1780137436321620736,HTTP Connection Overhead,ms,p5,0.89
0,1780137435321620736,1780137436321620736,HTTP Connection Overhead,ms,p10,0.89
0,1780137435321620736,1780137436321620736,HTTP Connection Overhead,ms,p25,0.89
0,1780137435321620736,1780137436321620736,HTTP Connection Overhead,ms,p50,0.89
0,1780137435321620736,1780137436321620736,HTTP Connection Overhead,ms,p75,0.89
0,1780137435321620736,1780137436321620736,HTTP Connection Overhead,ms,p90,0.89
0,1780137435321620736,1780137436321620736,HTTP Connection Overhead,ms,p95,0.89
0,1780137435321620736,1780137436321620736,HTTP Connection Overhead,ms,p99,0.89
0,1780137435321620736,1780137436321620736,HTTP Connection Overhead,ms,std,0.00
0,1780137435321620736,1780137436321620736,HTTP Connection Reused,ratio,avg,0.00
0,1780137435321620736,1780137436321620736,HTTP Connection Reused,ratio,min,0.00
0,1780137435321620736,1780137436321620736,HTTP Connection Reused,ratio,max,0.00
0,1780137435321620736,1780137436321620736,HTTP Connection Reused,ratio,sum,0.00
0,1780137435321620736,1780137436321620736,HTTP Connection Reused,ratio,p1,0.00
0,1780137435321620736,1780137436321620736,HTTP Connection Reused,ratio,p5,0.00
0,1780137435321620736,1780137436321620736,HTTP Connection Reused,ratio,p10,0.00
0,1780137435321620736,1780137436321620736,HTTP Connection Reused,ratio,p25,0.00
0,1780137435321620736,1780137436321620736,HTTP Connection Reused,ratio,p50,0.00
0,1780137435321620736,1780137436321620736,HTTP Connection Reused,ratio,p75,0.00
0,1780137435321620736,1780137436321620736,HTTP Connection Reused,ratio,p90,0.00
0,1780137435321620736,1780137436321620736,HTTP Connection Reused,ratio,p95,0.00
0,1780137435321620736,1780137436321620736,HTTP Connection Reused,ratio,p99,0.00
0,1780137435321620736,1780137436321620736,HTTP Connection Reused,ratio,std,0.00
0,1780137435321620736,1780137436321620736,HTTP Data Received,KB,avg,15.54
0,1780137435321620736,1780137436321620736,HTTP Data Received,KB,min,15.54
0,1780137435321620736,1780137436321620736,HTTP Data Received,KB,max,15.54
0,1780137435321620736,1780137436321620736,HTTP Data Received,KB,sum,15.54
0,1780137435321620736,1780137436321620736,HTTP Data Received,KB,p1,15.54
0,1780137435321620736,1780137436321620736,HTTP Data Received,KB,p5,15.54
0,1780137435321620736,1780137436321620736,HTTP Data Received,KB,p10,15.54
0,1780137435321620736,1780137436321620736,HTTP Data Received,KB,p25,15.54
0,1780137435321620736,1780137436321620736,HTTP Data Received,KB,p50,15.54
0,1780137435321620736,1780137436321620736,HTTP Data Received,KB,p75,15.54
0,1780137435321620736,1780137436321620736,HTTP Data Received,KB,p90,15.54
0,1780137435321620736,1780137436321620736,HTTP Data Received,KB,p95,15.54
0,1780137435321620736,1780137436321620736,HTTP Data Received,KB,p99,15.54
0,1780137435321620736,1780137436321620736,HTTP Data Received,KB,std,0.00
0,1780137435321620736,1780137436321620736,HTTP Data Sent,KB,avg,368.95
0,1780137435321620736,1780137436321620736,HTTP Data Sent,KB,min,368.95
0,1780137435321620736,1780137436321620736,HTTP Data Sent,KB,max,368.95
0,1780137435321620736,1780137436321620736,HTTP Data Sent,KB,sum,368.95
0,1780137435321620736,1780137436321620736,HTTP Data Sent,KB,p1,368.95
0,1780137435321620736,1780137436321620736,HTTP Data Sent,KB,p5,368.95
0,1780137435321620736,1780137436321620736,HTTP Data Sent,KB,p10,368.95
0,1780137435321620736,1780137436321620736,HTTP Data Sent,KB,p25,368.95
0,1780137435321620736,1780137436321620736,HTTP Data Sent,KB,p50,368.95
0,1780137435321620736,1780137436321620736,HTTP Data Sent,KB,p75,368.95
0,1780137435321620736,1780137436321620736,HTTP Data Sent,KB,p90,368.95
0,1780137435321620736,1780137436321620736,HTTP Data Sent,KB,p95,368.95
0,1780137435321620736,1780137436321620736,HTTP Data Sent,KB,p99,368.95
0,1780137435321620736,1780137436321620736,HTTP Data Sent,KB,std,0.00
0,1780137435321620736,1780137436321620736,HTTP DNS Lookup,ms,avg,0.00
0,1780137435321620736,1780137436321620736,HTTP DNS Lookup,ms,min,0.00
0,1780137435321620736,1780137436321620736,HTTP DNS Lookup,ms,max,0.00
0,1780137435321620736,1780137436321620736,HTTP DNS Lookup,ms,sum,0.00
0,1780137435321620736,1780137436321620736,HTTP DNS Lookup,ms,p1,0.00
0,1780137435321620736,1780137436321620736,HTTP DNS Lookup,ms,p5,0.00
0,1780137435321620736,1780137436321620736,HTTP DNS Lookup,ms,p10,0.00
0,1780137435321620736,1780137436321620736,HTTP DNS Lookup,ms,p25,0.00
0,1780137435321620736,1780137436321620736,HTTP DNS Lookup,ms,p50,0.00
0,1780137435321620736,1780137436321620736,HTTP DNS Lookup,ms,p75,0.00
0,1780137435321620736,1780137436321620736,HTTP DNS Lookup,ms,p90,0.00
0,1780137435321620736,1780137436321620736,HTTP DNS Lookup,ms,p95,0.00
0,1780137435321620736,1780137436321620736,HTTP DNS Lookup,ms,p99,0.00
0,1780137435321620736,1780137436321620736,HTTP DNS Lookup,ms,std,0.00
0,1780137435321620736,1780137436321620736,HTTP Duration (excl. conn),ms,avg,1160.85
0,1780137435321620736,1780137436321620736,HTTP Duration (excl. conn),ms,min,1160.85
0,1780137435321620736,1780137436321620736,HTTP Duration (excl. conn),ms,max,1160.85
0,1780137435321620736,1780137436321620736,HTTP Duration (excl. conn),ms,sum,1160.85
0,1780137435321620736,1780137436321620736,HTTP Duration (excl. conn),ms,p1,1160.85
0,1780137435321620736,1780137436321620736,HTTP Duration (excl. conn),ms,p5,1160.85
0,1780137435321620736,1780137436321620736,HTTP Duration (excl. conn),ms,p10,1160.85
0,1780137435321620736,1780137436321620736,HTTP Duration (excl. conn),ms,p25,1160.85
0,1780137435321620736,1780137436321620736,HTTP Duration (excl. conn),ms,p50,1160.85
0,1780137435321620736,1780137436321620736,HTTP Duration (excl. conn),ms,p75,1160.85
0,1780137435321620736,1780137436321620736,HTTP Duration (excl. conn),ms,p90,1160.85
0,1780137435321620736,1780137436321620736,HTTP Duration (excl. conn),ms,p95,1160.85
0,1780137435321620736,1780137436321620736,HTTP Duration (excl. conn),ms,p99,1160.85
0,1780137435321620736,1780137436321620736,HTTP Duration (excl. conn),ms,std,0.00
0,1780137435321620736,1780137436321620736,HTTP Receiving,ms,avg,677.47
0,1780137435321620736,1780137436321620736,HTTP Receiving,ms,min,677.47
0,1780137435321620736,1780137436321620736,HTTP Receiving,ms,max,677.47
0,1780137435321620736,1780137436321620736,HTTP Receiving,ms,sum,677.47
0,1780137435321620736,1780137436321620736,HTTP Receiving,ms,p1,677.47
0,1780137435321620736,1780137436321620736,HTTP Receiving,ms,p5,677.47
0,1780137435321620736,1780137436321620736,HTTP Receiving,ms,p10,677.47
0,1780137435321620736,1780137436321620736,HTTP Receiving,ms,p25,677.47
0,1780137435321620736,1780137436321620736,HTTP Receiving,ms,p50,677.47
0,1780137435321620736,1780137436321620736,HTTP Receiving,ms,p75,677.47
0,1780137435321620736,1780137436321620736,HTTP Receiving,ms,p90,677.47
0,1780137435321620736,1780137436321620736,HTTP Receiving,ms,p95,677.47
0,1780137435321620736,1780137436321620736,HTTP Receiving,ms,p99,677.47
0,1780137435321620736,1780137436321620736,HTTP Receiving,ms,std,0.00
0,1780137435321620736,1780137436321620736,HTTP Sending,ms,avg,1.23
0,1780137435321620736,1780137436321620736,HTTP Sending,ms,min,1.23
0,1780137435321620736,1780137436321620736,HTTP Sending,ms,max,1.23
0,1780137435321620736,1780137436321620736,HTTP Sending,ms,sum,1.23
0,1780137435321620736,1780137436321620736,HTTP Sending,ms,p1,1.23
0,1780137435321620736,1780137436321620736,HTTP Sending,ms,p5,1.23
0,1780137435321620736,1780137436321620736,HTTP Sending,ms,p10,1.23
0,1780137435321620736,1780137436321620736,HTTP Sending,ms,p25,1.23
0,1780137435321620736,1780137436321620736,HTTP Sending,ms,p50,1.23
0,1780137435321620736,1780137436321620736,HTTP Sending,ms,p75,1.23
0,1780137435321620736,1780137436321620736,HTTP Sending,ms,p90,1.23
0,1780137435321620736,1780137436321620736,HTTP Sending,ms,p95,1.23
0,1780137435321620736,1780137436321620736,HTTP Sending,ms,p99,1.23
0,1780137435321620736,1780137436321620736,HTTP Sending,ms,std,0.00
0,1780137435321620736,1780137436321620736,HTTP Total Time,ms,avg,1161.74
0,1780137435321620736,1780137436321620736,HTTP Total Time,ms,min,1161.74
0,1780137435321620736,1780137436321620736,HTTP Total Time,ms,max,1161.74
0,1780137435321620736,1780137436321620736,HTTP Total Time,ms,sum,1161.74
0,1780137435321620736,1780137436321620736,HTTP Total Time,ms,p1,1161.74
0,1780137435321620736,1780137436321620736,HTTP Total Time,ms,p5,1161.74
0,1780137435321620736,1780137436321620736,HTTP Total Time,ms,p10,1161.74
0,1780137435321620736,1780137436321620736,HTTP Total Time,ms,p25,1161.74
0,1780137435321620736,1780137436321620736,HTTP Total Time,ms,p50,1161.74
0,1780137435321620736,1780137436321620736,HTTP Total Time,ms,p75,1161.74
0,1780137435321620736,1780137436321620736,HTTP Total Time,ms,p90,1161.74
0,1780137435321620736,1780137436321620736,HTTP Total Time,ms,p95,1161.74
0,1780137435321620736,1780137436321620736,HTTP Total Time,ms,p99,1161.74
0,1780137435321620736,1780137436321620736,HTTP Total Time,ms,std,0.00
0,1780137435321620736,1780137436321620736,HTTP Waiting (TTFB),ms,avg,482.15
0,1780137435321620736,1780137436321620736,HTTP Waiting (TTFB),ms,min,482.15
0,1780137435321620736,1780137436321620736,HTTP Waiting (TTFB),ms,max,482.15
0,1780137435321620736,1780137436321620736,HTTP Waiting (TTFB),ms,sum,482.15
0,1780137435321620736,1780137436321620736,HTTP Waiting (TTFB),ms,p1,482.15
0,1780137435321620736,1780137436321620736,HTTP Waiting (TTFB),ms,p5,482.15
0,1780137435321620736,1780137436321620736,HTTP Waiting (TTFB),ms,p10,482.15
0,1780137435321620736,1780137436321620736,HTTP Waiting (TTFB),ms,p25,482.15
0,1780137435321620736,1780137436321620736,HTTP Waiting (TTFB),ms,p50,482.15
0,1780137435321620736,1780137436321620736,HTTP Waiting (TTFB),ms,p75,482.15
0,1780137435321620736,1780137436321620736,HTTP Waiting (TTFB),ms,p90,482.15
0,1780137435321620736,1780137436321620736,HTTP Waiting (TTFB),ms,p95,482.15
0,1780137435321620736,1780137436321620736,HTTP Waiting (TTFB),ms,p99,482.15
0,1780137435321620736,1780137436321620736,HTTP Waiting (TTFB),ms,std,0.00
0,1780137435321620736,1780137436321620736,Input Sequence Length,tokens,avg,93178.00
0,1780137435321620736,1780137436321620736,Input Sequence Length,tokens,min,93178.00
0,1780137435321620736,1780137436321620736,Input Sequence Length,tokens,max,93178.00
0,1780137435321620736,1780137436321620736,Input Sequence Length,tokens,sum,93178.00
0,1780137435321620736,1780137436321620736,Input Sequence Length,tokens,p1,93178.00
0,1780137435321620736,1780137436321620736,Input Sequence Length,tokens,p5,93178.00
0,1780137435321620736,1780137436321620736,Input Sequence Length,tokens,p10,93178.00
0,1780137435321620736,1780137436321620736,Input Sequence Length,tokens,p25,93178.00
0,1780137435321620736,1780137436321620736,Input Sequence Length,tokens,p50,93178.00
0,1780137435321620736,1780137436321620736,Input Sequence Length,tokens,p75,93178.00
0,1780137435321620736,1780137436321620736,Input Sequence Length,tokens,p90,93178.00
0,1780137435321620736,1780137436321620736,Input Sequence Length,tokens,p95,93178.00
0,1780137435321620736,1780137436321620736,Input Sequence Length,tokens,p99,93178.00
0,1780137435321620736,1780137436321620736,Input Sequence Length,tokens,std,0.00
0,1780137435321620736,1780137436321620736,Input Token Throughput,tokens/sec,avg,93178.00
0,1780137435321620736,1780137436321620736,Inter Chunk Latency,ms,avg,0.21
0,1780137435321620736,1780137436321620736,Inter Chunk Latency,ms,min,0.05
0,1780137435321620736,1780137436321620736,Inter Chunk Latency,ms,max,0.27
0,1780137435321620736,1780137436321620736,Inter Chunk Latency,ms,sum,12.34
0,1780137435321620736,1780137436321620736,Inter Chunk Latency,ms,p1,0.05
0,1780137435321620736,1780137436321620736,Inter Chunk Latency,ms,p5,0.09
0,1780137435321620736,1780137436321620736,Inter Chunk Latency,ms,p10,0.15
0,1780137435321620736,1780137436321620736,Inter Chunk Latency,ms,p25,0.18
0,1780137435321620736,1780137436321620736,Inter Chunk Latency,ms,p50,0.22
0,1780137435321620736,1780137436321620736,Inter Chunk Latency,ms,p75,0.25
0,1780137435321620736,1780137436321620736,Inter Chunk Latency,ms,p90,0.26
0,1780137435321620736,1780137436321620736,Inter Chunk Latency,ms,p95,0.26
0,1780137435321620736,1780137436321620736,Inter Chunk Latency,ms,p99,0.27
0,1780137435321620736,1780137436321620736,Inter Chunk Latency,ms,std,0.05
0,1780137435321620736,1780137436321620736,Inter Token Latency,ms,avg,11.29
0,1780137435321620736,1780137436321620736,Inter Token Latency,ms,min,11.29
